IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "March 30,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:03"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE_ID     XYZ_X     XYZ_Y     XYZ_Z     LAB_L     LAB_A     LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
F03       1.99    2.99    1.30   20.01  -18.06   11.96   21.66  146.48
F04       1.99    2.99    1.30   19.98  -18.05   11.85   21.59  146.71
F05       7.56    9.41    6.18   36.76  -13.39    6.66   14.95  153.55
F06       6.54   10.03    5.27   37.90  -28.36   13.00   31.19  155.37
F07       5.28    9.82    4.50   37.51  -40.76   16.40   43.93  158.08
F08       4.79    9.78    3.97   37.44  -46.59   19.39   50.46  157.40
F09      42.62   45.87   36.69   73.46   -4.67    1.54    4.92  161.76
F10      39.93   45.29   34.18   73.08  -11.22    4.46   12.08  158.34
F11      38.49   45.75   33.29   73.39  -17.08    6.30   18.20  159.75
F12      35.91   44.74   32.06   72.72  -22.64    6.99   23.69  162.85
F13      36.48   46.37   54.69   73.78  -25.31  -19.62   32.02  217.79
F14      50.19   37.77   52.01   67.86   40.83  -26.95   48.92  326.57
F15      65.56   67.79   21.57   85.90    0.50   47.77   47.78   89.40
F16      19.02   19.60   16.57   51.38    0.65   -0.96    1.16  303.93
F17      40.77   31.43   15.92   62.87   35.41   20.38   40.85   29.92
F18      27.96   37.28   17.01   67.48  -28.85   25.76   38.67  138.24
F19      22.94   20.84   41.49   52.77   13.44  -40.52   42.68  288.35
F20      50.63   50.14   33.63   76.16    6.20   10.58   12.26   59.64
F21      44.61   42.81   30.26   71.43    9.92    7.54   12.46   37.25
F22      53.50   49.27   34.28   75.62   16.03    8.69   18.23   28.48
G01       2.58    3.18    3.01   20.72   -8.81   -3.00    9.31  198.81
G02       2.30    3.40    3.22   21.58  -17.94   -3.05   18.20  189.66
G03       2.61    4.10    3.53   23.99  -22.22   -1.02   22.24  182.62
G04       2.60    4.09    3.52   23.96  -22.28   -0.98   22.30  182.51
G05      10.14   12.40   10.72   41.85  -13.34   -1.59   13.43  186.81
G06       8.99   12.97   11.31   42.71  -26.34   -1.93   26.41  184.19
G07       7.63   13.21   12.08   43.08  -39.92   -3.58   40.08  185.12
G08       6.46   12.23   12.50   41.58  -45.14   -7.35   45.73  189.24
G09      42.61   46.14   39.29   73.64   -5.49   -1.67    5.73  196.91
G10      40.02   45.87   39.62   73.46  -12.59   -2.41   12.81  190.85
G11      38.21   46.24   41.01   73.70  -19.35   -3.80   19.71  191.11
G12      35.04   44.15   40.98   72.32  -23.88   -6.13   24.65  194.40
G13      28.73   38.72   50.35   68.55  -30.43  -23.91   38.70  218.15
G14      44.32   30.30   47.41   61.91   50.11  -31.98   59.44  327.45
G15      63.10   64.42   15.13   84.18    2.33   59.06   59.11   87.74
G16      11.78   12.13   10.43   41.43    0.54   -1.37    1.47  291.40
G17      34.94   24.75   10.66   56.84   42.58   24.45   49.10   29.86
G18      20.44   29.45   11.73   61.17  -34.45   28.66   44.81  140.25
G19      15.91   13.73   35.32   43.84   16.37  -47.59   50.33  288.98
G20      39.10   37.69   18.65   67.79    8.98   22.60   24.32   68.33
G21      32.64   29.64   13.66   61.34   15.16   23.50   27.96   57.18
G22      41.28   36.16   18.48   66.64   20.68   21.00   29.48   45.44
H01       2.81    3.20    3.64   20.83   -4.89   -7.18    8.68  235.75
H02       2.56    3.30    4.90   21.21  -11.18  -13.91   17.84  231.20
H03       2.85    3.87    6.33   23.23  -14.53  -17.36   22.64  230.07
H04       2.89    3.90    6.56   23.35  -14.20  -18.19   23.07  232.03
H05      10.87   12.47   13.28   41.95   -8.17   -8.90   12.08  227.46
