IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 6,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
F05       6.79    8.59    5.63   35.18  -14.08    6.51   15.51  155.19
F06       5.86    9.10    4.78   36.18  -28.35   12.56   31.01  156.10
F07       4.67    8.80    4.07   35.59  -40.07   15.59   42.99  158.74
F08       4.36    8.95    3.60   35.87  -45.40   19.00   49.22  157.29
F09      37.58   40.57   32.37   69.87   -4.84    1.60    5.10  161.70
F10      35.22   40.10   30.22   69.54  -11.24    4.35   12.06  158.84
F11      34.06   40.76   29.38   70.00  -17.22    6.50   18.40  159.33
F12      31.96   40.30   28.39   69.68  -23.24    7.55   24.44  162.02
F13      34.11   44.04   53.30   72.26  -26.76  -20.76   33.87  217.80
F14      48.91   36.10   50.93   66.59   42.81  -27.93   51.12  326.88
F15      64.74   66.76   19.76   85.38    0.91   50.57   50.57   88.97
F16      17.11   17.76   14.98   49.21   -0.08   -0.84    0.84  264.71
F17      39.57   30.02   14.54   61.67   36.82   21.78   42.78   30.61
F18      25.83   35.11   15.62   65.84  -30.40   26.25   40.16  139.19
F19      21.12   19.15   40.06   50.86   13.25  -41.96   44.00  287.52
F20      45.27   44.76   29.78   72.73    6.22   10.55   12.25   59.49
F21      39.80   38.20   26.79   68.17    9.53    7.64   12.21   38.70
F22      48.82   44.59   30.30   72.62   16.59    9.53   19.13   29.89
G01       2.30    2.89    2.73   19.61   -9.50   -2.83    9.91  196.57
G02       2.12    3.15    2.96   20.62  -17.89   -2.83   18.11  189.00
G03       2.38    3.77    3.22   22.90  -22.18   -0.81   22.20  182.08
G04       2.37    3.76    3.22   22.86  -22.18   -0.86   22.20  182.21
