IT8.7/2
ORIGINATOR  "DCS"
DESCRIPTOR  "calibration data"
CREATED  "Mai 29,1998"
MANUFACTURER  "DCS"
PROD_DATE  "1998:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE_ID  XYZ_X  XYZ_Y  XYZ_Z  LAB_L  LAB_A  LAB_B  LAB_C  LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
F09      41.35   44.98   37.11   72.88   -6.00   -0.04    6.00   180.3
F10      38.73   44.17   35.10   72.34  -11.82    1.87   11.97   171.0
F11      37.08   44.26   34.11   72.40  -17.42    3.40   17.75   168.9
F12      34.29   43.10   32.78   71.62  -23.40    4.02   23.74   170.3
F13      33.74   44.19   53.26   72.35  -28.46  -20.55   35.10   215.8
F14      49.53   37.76   49.52   67.84   39.11  -24.19   45.99   328.3
F15      65.76   67.08   21.89   85.54    2.50   46.53   46.59    86.9
F16      18.63   19.51   17.06   51.27   -0.90   -2.30    2.47   248.7
F17      40.23   31.08   15.87   62.58   34.95   20.02   40.28    29.8
F18      25.78   35.08   17.06   65.81  -30.49   22.76   38.05   143.3
F19      21.34   19.94   38.75   51.76   10.41  -38.66   40.03   285.1
F20      49.41   49.65   34.97   75.86    4.26    8.11    9.16    62.3
F21      43.52   42.43   31.30   71.16    7.87    5.47    9.58    34.8
F22      52.53   48.92   35.05   75.40   14.44    7.21   16.14    26.5
G01       2.16    2.77    3.01   19.08  -10.34   -5.87   11.88   209.6
G02       1.46    2.41    3.08   17.51  -20.65   -9.07   22.55   203.7
G03       1.64    2.86    3.27   19.46  -24.35   -7.04   25.35   196.1
G04       1.64    2.86    3.28   19.47  -24.46   -7.13   25.48   196.2
G05       9.39   11.55   10.88   40.49  -13.45   -4.41   14.16   198.1
G06       7.94   11.38   11.24   40.22  -24.77   -6.02   25.49   193.7
G07       6.22   10.92   11.64   39.44  -38.43   -8.54   39.37   192.5
G08       4.24    8.51   11.31   35.01  -43.38  -15.20   45.97   199.3
G09      41.22   45.01   39.44   72.90   -6.49   -3.14    7.21   205.8
G10      38.41   44.36   39.63   72.47  -13.40   -4.13   14.03   197.1
G11      36.22   44.23   40.68   72.38  -20.13   -5.66   20.91   195.7
G12      32.93   42.14   40.07   70.97  -25.33   -7.30   26.36   196.1
G13      26.37   36.69   48.79   67.05  -33.39  -24.72   41.54   216.5
G14      43.10   30.08   44.23   61.72   47.35  -28.51   55.27   328.9
G15      63.09   63.27   15.28   83.58    4.89   57.68   57.88    85.2
G16      11.82   12.43   11.12   41.89   -1.10   -2.77    2.98   248.3
G17      34.04   24.29   10.79   56.38   41.43   23.26   47.51    29.3
G18      18.75   27.54   11.90   59.47  -35.63   25.21   43.65   144.7
G19      14.56   12.95   32.41   42.69   13.32  -45.31   47.23   286.4
G20      37.39   36.44   19.31   66.86    7.52   19.58   20.97    69.0
G21      30.45   28.00   14.01   59.89   13.41   20.09   24.15    56.3
G22      39.50   34.95   18.79   65.71   19.22   18.71   26.82    44.2
H01       2.47    2.90    3.76   19.64   -6.30  -10.00   11.82   237.8
H02       1.96    2.64    4.85   18.55  -12.43  -18.20   22.04   235.7
H03       1.95    2.81    6.03   19.27  -15.68  -22.83   27.69   235.5
H04       1.99    2.84    6.24   19.38  -15.36  -23.59   28.15   236.9
H05      10.12   11.70   13.19   40.73   -8.66  -10.76   13.81   231.2
H06       9.32   11.95   17.11   41.13  -16.71  -19.92   26.00   230.0
H07       8.02   11.54   20.09   40.48  -25.15  -27.53   37.29   227.6
H08       6.92   10.83   22.02   39.29  -30.53  -33.48   45.31   227.6
H09      41.50   44.92   42.25   72.84   -5.39   -6.88    8.74   231.9
H10      39.56   44.43   44.82   72.52   -9.94  -10.61   14.54   226.9
H11      37.62   44.13   48.17   72.31  -15.27  -14.93   21.36   224.4
H12      35.44   42.79   50.29   71.41  -18.56  -18.91   26.50   225.5
H13      20.76   30.56   44.52   62.13  -37.08  -28.15   46.55   217.2
H14      37.54   23.96   39.42   56.05   54.60  -32.18   63.38   329.5
H15      60.63   59.62   10.48   81.63    7.59   67.78   68.20    83.6
H16       7.06    7.45    6.90   32.81   -1.23   -3.33    3.55   249.7
H17      28.97   19.14    7.26   50.85   46.77   26.27   53.65    29.3
H18      13.66   21.73    8.47   53.74  -39.94   26.59   47.98   146.3
H19      10.15    8.60   27.43   35.19   15.50  -50.32   52.65   287.1
H20      29.51   28.07   16.92   59.95    9.62   12.99   16.17    53.5
H21      38.20   35.42   23.17   66.07   13.52   10.50   17.12    37.8
H22      32.06   27.74   16.92   59.65   20.33   12.47   23.85    31.5
I01       4.32    4.47    6.89   25.17    0.19  -16.47   16.47   270.7
I02       4.38    4.55    9.80   25.41   -0.15  -26.93   26.93   269.7
I03       4.30    4.51   13.28   25.27   -0.52  -37.66   37.66   269.2
I04       4.05    4.22   15.57   24.37   -0.13  -45.15   45.15   269.8
I05      14.84   15.47   17.46   46.27   -0.44  -11.84   11.85   267.9
I06      14.99   15.44   22.49   46.23    0.64  -22.43   22.44   271.6
I07      14.76   15.26   26.85   45.98    0.35  -30.74   30.74   270.7
I08      14.37   15.00   30.23   45.63   -0.55  -36.89   36.89   269.1
I09      42.89   44.72   42.46   72.71   -0.62   -7.36    7.39   265.2
I10      42.46   44.36   45.64   72.47   -0.88  -11.69   11.72   265.7
I11      43.06   45.00   49.26   72.89   -0.93  -15.18   15.21   266.5
I12      42.49   44.30   51.40   72.42   -0.61  -18.40   18.41   268.1
I13      17.00   26.18   41.23   58.20  -39.41  -30.81   50.02   218.0
I14      33.69   20.06   35.91   51.90   59.55  -34.53   68.84   329.9
I15      58.53   56.47    7.34   79.88   10.16   76.02   76.69    82.4
I16       4.51    4.81    4.49   26.17   -1.66   -3.10    3.51   241.8
I17      25.34   15.73    4.85   46.62   50.41   30.19   58.76    30.9
I18      10.22   17.49    5.95   48.87  -42.95   28.55   51.57   146.4
I19       7.43    5.86   23.62   29.06   18.57  -54.16   57.26   288.9
I20      37.13   36.01   26.14   66.53    8.09    5.92   10.02    36.2
I21      30.90   28.15   20.94   60.02   14.56    4.42   15.21    16.9
I22      39.58   35.05   26.57   65.79   19.09    3.90   19.48    11.5
J01       2.05    1.76    3.56   14.15    8.55  -18.15   20.07   295.2
J02       2.19    1.61    5.55   13.28   15.47  -30.87   34.53   296.6
J03       2.41    1.51    7.94   12.65   22.66  -42.26   47.95   298.2
J04       2.57    1.43   10.57   12.12   28.19  -52.36   59.47   298.3
J05      12.05   11.68   13.85   40.70    5.60  -12.60   13.78   294.0
J06      12.97   11.82   18.42   40.92   10.88  -23.22   25.64   295.1
J07      13.45   11.64   22.64   40.63   15.22  -32.36   35.76   295.2
J08      14.02   11.49   26.87   40.39   19.89  -40.42   45.05   296.2
J09      43.89   44.83   42.61   72.78    1.99   -7.43    7.69   285.0
J10      44.34   44.88   45.50   72.81    3.17  -10.92   11.37   286.2
J11      45.26   44.93   49.32   72.85    5.68  -15.33   16.35   290.3
J12      45.94   44.53   51.68   72.58    8.77  -18.43   20.41   295.4
J13      13.67   21.98   37.57   54.01  -41.01  -33.20   52.77   219.0
J14      29.75   16.45   32.13   47.55   63.97  -36.52   73.66   330.3
J15      56.09   53.01    5.03   77.88   12.79   83.17   84.15    81.3
J16       2.61    2.83    2.70   19.34   -2.16   -3.05    3.74   234.7
J17      21.94   12.78    3.16   42.44   53.39   33.28   62.91    31.9
J18       7.45   13.81    4.22   43.95  -45.47   29.09   53.98   147.4
J19       5.09    3.91   18.65   23.34   18.03  -54.03   56.96   288.5
J20      24.16   22.02   10.31   54.05   13.34   20.78   24.69    57.3
J21      19.10   16.43    7.06   47.52   17.71   21.38   27.76    50.4
J22      25.80   21.15    9.99   53.11   24.34   20.19   31.63    39.7
K01       5.32    4.38    5.93   24.89   14.09  -12.66   18.94   318.0
K02       6.49    4.14    7.69   24.12   30.48  -21.54   37.32   324.8
K03       8.41    4.29    9.21   24.60   46.81  -26.31   53.70   330.7
K04       8.79    4.45    9.51   25.10   47.88  -26.48   54.71   331.1
K05      17.04   15.56   17.01   46.38   11.71  -10.62   15.81   317.8
K06      19.29   15.54   20.97   46.36   23.65  -19.21   30.47   320.9
K07      20.79   15.03   24.12   45.66   34.06  -26.44   43.12   322.2
K08      22.46   14.23   27.38   44.56   46.65  -34.08   57.77   323.9
K09      45.34   44.90   42.11   72.83    6.00   -6.71    9.00   311.8
K10      46.43   43.87   44.23   72.14   12.05  -10.54   16.01   318.8
K11      50.14   45.34   47.68   73.12   18.02  -12.98   22.21   324.2
K12      51.10   44.02   50.13   72.24   24.32  -17.30   29.85   324.6
K13      10.77   18.01   33.67   49.51  -41.49  -35.44   54.57   220.5
