IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "June 9,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:05"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
F04       2.56    6.35    3.74   30.29  -50.30    8.50   51.01  170.41
F05      20.04   23.90   15.10   55.99  -14.10   10.56   17.62  143.17
F06      13.95   21.63   12.47   53.64  -37.61   13.50   39.96  160.25
F07      11.07   21.17   10.61   53.13  -54.92   18.22   57.86  161.65
F08      10.48   21.02    9.99   52.98  -58.65   19.96   61.95  161.21
F09      38.64   43.66   33.14   72.00  -10.63    4.12   11.40  158.81
F10      33.70   42.82   27.21   71.43  -24.62   12.54   27.63  153.01
F11      30.59   42.81   25.77   71.43  -35.78   15.01   38.80  157.24
F12      29.21   42.73   24.97   71.37  -40.73   16.33   43.88  158.15
F13      40.29   53.80   60.31   78.35  -32.79  -17.54   37.19  208.14
F14      56.13   41.15   54.86   70.28   45.65  -25.84   52.46  330.49
F15      76.56   81.29   24.71   92.26   -3.58   52.82   52.94   93.88
F16      17.50   18.14   16.11   49.67    0.07   -2.83    2.83  271.42
F17      48.42   36.78   17.77   67.11   39.25   23.39   45.69   30.79
F18      31.85   46.38   22.03   73.79  -41.34   25.98   48.83  147.85
F19      24.19   21.99   47.95   54.02   13.58  -46.22   48.17  286.37
F20      47.19   47.38   32.95   74.43    4.28    8.60    9.61   63.54
F21      40.83   39.27   28.63   68.94    9.38    5.88   11.07   32.08
F22      52.56   47.63   33.56   74.59   18.01    7.97   19.69   23.87
G01       4.16    5.14    6.40   27.13  -10.50  -10.98   15.19  226.28
G02       3.94    5.74    7.08   28.74  -20.60  -11.08   23.39  208.27
G03       2.55    4.61    7.03   25.58  -30.15  -16.33   34.29  208.44
G04       2.49    4.78    7.24   26.09  -33.59  -16.33   37.35  205.93
G05      17.62   21.80   19.55   53.82  -17.15   -3.42   17.49  191.28
G06      15.72   22.76   22.17   54.82  -32.09   -6.99   32.84  192.29
G07      12.65   21.93   22.37   53.96  -47.40   -8.86   48.22  190.59
G08      11.42   21.19   22.94   53.15  -52.51  -11.34   53.72  192.19
G09      39.06   43.97   38.01   72.21  -10.20   -2.43   10.49  193.40
G10      35.07   43.92   39.61   72.18  -23.13   -4.61   23.58  191.27
G11      31.80   43.84   40.75   72.12  -34.32   -6.19   34.87  190.22
G12      30.43   44.32   42.32   72.44  -40.78   -7.64   41.49  190.61
G13      34.44   48.37   58.46   75.06  -37.66  -21.35   43.29  209.55
G14      50.89   33.94   51.51   64.92   55.36  -31.46   63.67  330.39
G15      75.10   79.50   18.40   91.46   -3.08   63.96   64.03   92.76
G16      11.30   11.65   10.67   40.65    0.53   -3.49    3.53  278.64
G17      42.81   29.87   11.96   61.55   47.25   28.61   55.24   31.20
G18      24.98   39.57   16.10   69.16  -48.29   30.80   57.28  147.47
G19      18.08   15.23   43.55   45.94   19.20  -54.87   58.13  289.29
G20      35.66   35.27   18.54   65.96    5.67   19.69   20.49   73.94
G21      29.47   27.44   14.11   59.38   11.94   18.93   22.38   57.76
G22      40.32   35.27   18.51   65.96   20.66   19.76   28.59   43.72
H01       4.32    5.06    7.12   26.92   -7.35  -14.41   16.18  242.98
H02       4.23    5.44    9.87   27.95  -13.05  -22.80   26.27  240.21
H03       3.28    4.83   11.18   26.24  -20.10  -29.91   36.04  236.10
H04       3.18    4.75   12.23   26.00  -20.70  -33.45   39.34  238.25
H05      14.77   16.91   20.42   48.15   -8.96  -14.99   17.46  239.13
H06      14.41   17.79   27.54   49.24  -15.84  -26.29   30.69  238.93
H07      12.28   17.30   32.58   48.64  -27.02  -35.32   44.47  232.58
H08      10.50   16.01   34.23   46.98  -32.70  -40.60   52.13  231.15
H09      41.80   44.52   40.43   72.57   -3.30   -5.01    6.00  236.63
H10      39.09   43.45   45.57   71.86   -8.60  -12.65   15.30  235.79
H11      37.98   44.07   49.84   72.27  -13.91  -16.91   21.90  230.56
H12      35.63   43.29   52.57   71.75  -19.39  -20.84   28.47  227.06
H13      29.57   43.55   56.46   71.93  -41.77  -24.68   48.52  210.58
H14      47.04   29.07   48.65   60.84   62.43  -35.26   71.70  330.54
H15      73.90   77.82   13.78   90.70   -2.27   73.80   73.83   91.76
H16       7.37    7.68    7.11   33.32   -0.33   -3.34    3.36  264.36
H17      38.82   25.31    8.06   57.38   52.99   34.37   63.16   32.97
H18      19.79   33.95   11.87   64.92  -53.81   34.71   64.03  147.18
H19      14.08   11.00   40.00   39.58   23.76  -61.32   65.76  291.18
H20      27.28   26.59   16.40   58.59    6.78   11.86   13.66   60.24
