IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 2,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
H16       7.31    7.63    6.73   33.21   -0.47   -1.93    1.99  256.31
H17      38.72   25.45    7.38   57.51   52.09   37.30   64.07   35.61
H18      18.68   32.41   11.04   63.68  -54.12   35.05   64.48  147.07
H19      13.41   10.34   39.88   38.44   24.43  -63.13   67.69  291.16
H20      29.02   28.18   16.05   60.06    7.30   15.21   16.87   64.36
H21      38.28   35.31   21.68   65.99   14.15   13.23   19.37   43.08
H22      32.70   28.13   16.02   60.00   21.11   15.21   26.02   35.77
I01       7.63    7.81   12.38   33.59    0.94  -20.79   20.81  272.59
I02       7.81    7.65   18.99   33.24    4.11  -37.70   37.92  276.22
I03       7.23    7.34   25.51   32.56    1.52  -51.54   51.56  271.69
I04       6.79    6.83   29.79   31.43    2.08  -60.67   60.71  271.96
I05      21.12   21.53   24.59   53.53    1.77  -13.74   13.85  277.34
I06      21.35   21.39   31.84   53.37    3.50  -26.04   26.27  277.66
I07      20.98   20.98   37.48   52.93    3.69  -34.94   35.13  276.03
I08      20.46   20.31   41.61   52.19    4.34  -41.66   41.89  275.95
I09      38.54   39.11   37.78   68.83    2.73   -7.93    8.39  289.00
I10      38.60   39.08   41.38   68.81    3.01  -12.73   13.08  283.30
I11      38.42   38.65   47.52   68.50    3.75  -20.75   21.09  280.24
I12      38.12   38.27   50.82   68.22    3.98  -24.99   25.30  279.05
I13      23.56   36.47   54.08   66.88  -44.60  -30.87   54.24  214.69
I14      43.19   24.58   45.73   56.66   69.44  -39.05   79.67  330.65
I15      70.89   74.27    8.99   89.05   -1.46   85.57   85.58   90.98
I16       4.62    4.80    4.24   26.15   -0.05   -1.73    1.73  268.34
I17      34.96   21.38    4.61   53.36   57.62   43.12   71.97   36.81
I18      14.66   27.55    7.81   59.48  -58.41   38.95   70.21  146.30
I19      10.37    7.07   35.96   31.98   31.01  -68.96   75.61  294.21
I20      36.05   34.75   24.68   65.55    8.76    6.82   11.10   37.90
I21      30.36   27.28   19.32   59.23   15.93    6.41   17.17   21.92
I22      40.00   34.83   25.55   65.62   21.16    5.38   21.83   14.27
J01       2.04    1.58    4.71   13.09   13.01  -26.86   29.84  295.84
J02       2.78    1.58    9.30   13.09   27.98  -46.48   54.25  301.05
J03       3.38    1.65   14.55   13.51   36.43  -61.29   71.30  300.73
