IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 12, 2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
E16      20.33   21.67   17.99   53.68   -1.70   -0.28    1.72  189.35
E17      50.28   41.13   20.13   70.27   31.65   23.74   39.56   36.87
E18      33.00   46.63   21.05   73.96  -36.94   28.21   46.48  142.63
E19      26.16   25.08   48.23   57.15    9.42  -41.15   42.21  282.89
E20      37.32   37.74   23.43   67.83    4.12   13.04   13.68   72.47
E21      44.54   43.57   27.49   71.94    8.53   12.94   15.50   56.61
E22      40.63   37.34   23.39   67.53   15.87   12.59   20.26   38.43
F01       3.51    4.42    3.20   25.01   -9.98    3.01   10.42  163.22
F02       2.95    4.56    2.80   25.43  -21.12    6.67   22.15  162.47
F03       2.53    4.69    2.39   25.83  -30.73   10.64   32.52  160.90
F04       2.03    4.58    1.90   25.50  -39.82   14.60   42.41  159.86
F05      11.00   14.18    9.87   44.48  -17.14    5.72   18.07  161.54
F06       8.93   14.36    8.36   44.74  -34.52   11.47   36.38  161.62
F07       7.25   14.32    6.89   44.69  -49.48   17.20   52.38  160.83
F08       5.88   14.24    5.60   44.57  -63.29   22.81   67.27  160.18
F09      28.36   33.14   25.94   64.27  -12.44    2.38   12.67  169.17
F10      25.21   33.24   23.39   64.35  -25.59    7.13   26.56  164.43
F11      22.25   32.75   20.52   63.96  -36.91   12.06   38.83  161.91
F12      19.76   33.13   17.90   64.26  -50.12   18.17   53.31  160.07
F13      32.77   46.87   55.91   74.11  -38.41  -20.35   43.47  207.92
F14      51.81   37.13   52.88   67.38   48.15  -28.72   56.06  329.19
F15      71.32   75.36   18.14   89.56   -1.76   61.26   61.29   91.65
F16      13.08   14.00   11.22   44.24   -1.68    0.97    1.94  150.00
F17      44.34   33.12   13.05   64.26   41.05   30.19   50.96   36.33
F18      25.88   39.90   14.87   69.40  -44.55   34.24   56.19  142.46
F19      19.04   17.09   43.95   48.37   14.70  -51.17   53.24  286.03
F20      42.80   43.04   29.31   71.59    4.94    9.33   10.56   62.10
F21      38.63   37.71   26.03   67.80    8.44    8.30   11.84   44.52
F22      48.30   44.57   31.75   72.61   16.23    7.26   17.78   24.10
G01       2.41    2.96    2.50   19.87   -7.41   -0.54    7.43  184.17
G02       2.12    3.01    2.76   20.09  -14.46   -2.27   14.64  188.92
G03       1.85    3.07    2.98   20.32  -21.67   -3.49   21.95  189.15
G04       1.68    3.15    3.36   20.62  -27.21   -5.71   27.80  191.85
G05      11.43   14.43   12.84   44.85  -15.60   -2.69   15.83  189.78
G06       9.42   14.20   13.73   44.52  -29.56   -5.68   30.10  190.88
G07       7.95   14.38   14.53   44.78  -43.29   -7.35   43.91  189.64
G08       6.57   14.08   14.65   44.34  -54.90   -8.40   55.54  188.70
G09      28.69   33.24   29.91   64.36  -11.52   -4.10   12.23  199.59
G10      25.84   33.56   32.13   64.61  -24.05   -7.09   25.07  196.43
G11      23.03   33.27   33.45   64.38  -35.18   -9.48   36.43  195.08
G12      20.69   33.41   33.75   64.49  -46.57   -9.71   47.57  191.78
G13      27.43   41.66   53.70   70.63  -43.51  -24.00   49.69  208.88
G14      47.47   30.64   50.06   62.20   58.77  -34.52   68.16  329.57
G15      70.44   74.04   13.50   88.94   -0.95   71.52   71.53   90.76
G16       8.36    8.94    7.13   35.88   -1.25    1.02    1.61  140.79
G17      39.40   26.82    8.81   58.81   49.63   34.08   60.20   34.48
G18      20.69   34.63   10.89   65.46  -50.74   38.58   63.74  142.75
G19      14.03   11.51   39.86   40.43   20.77  -59.67   63.18  289.19
G20      33.29   32.96   16.45   64.13    6.46   21.28   22.24   73.11
G21      26.97   25.53   12.35   57.59   10.88   20.66   23.35   62.23
G22      36.58   32.80   16.29   64.00   18.19   21.44   28.12   49.69
H01       2.57    2.99    3.13   20.01   -4.84   -5.15    7.07  226.78
H02       2.27    3.00    4.07   20.03  -11.03  -11.26   15.76  225.59
H03       2.04    3.02    4.99   20.11  -16.25  -16.29   23.01  225.07
H04       2.19    3.23    7.23   20.96  -16.58  -25.15   30.12  236.61
H05       9.37   11.13   12.54   39.79   -9.62  -10.55   14.28  227.64
H06       8.56   11.27   16.20   40.03  -17.45  -19.66   26.29  228.41
H07       7.74   11.35   20.82   40.17  -25.37  -29.58   38.97  229.38
H08       7.80   11.89   28.37   41.05  -28.65  -41.79   50.67  235.57
H09      30.14   33.34   30.70   64.43   -6.30   -5.20    8.17  219.54
H10      28.87   33.40   35.72   64.49  -11.39  -12.57   16.96  227.82
H11      27.85   33.94   39.38   64.91  -17.19  -16.83   24.06  224.39
H12      26.51   33.44   42.97   64.52  -20.87  -22.12   30.41  226.67
H13      23.42   37.50   51.72   67.65  -47.55  -26.98   54.67  209.57
H14      44.31   25.99   47.72   58.02   67.82  -39.05   78.26  330.07
H15      71.39   74.46   10.52   89.14    0.19   80.59   80.59   89.86
H16       5.40    5.72    4.84   28.70   -0.32   -0.67    0.74  244.47
H17      36.13   22.59    6.29   54.64   57.02   36.96   67.95   32.95
H18      16.60   30.09    8.45   61.74  -55.85   40.42   68.94  144.11
H19      10.56    7.74   36.02   33.43   27.16  -66.52   71.85  292.21
